label,img-1,img-2,img_1_path,img_2_path,actual_result,result
Priyanka Chopra,Priyanka Chopra_1.jpg,Alexandra Daddario_24.jpg,./Images/Priyanka Chopra/Priyanka Chopra_1.jpg,./Images/Alexandra Daddario/Alexandra Daddario_24.jpg,False,
Charlize Theron,Charlize Theron_23.jpg,Roger Federer_58.jpg,./Images/Charlize Theron/Charlize Theron_23.jpg,./Images/Roger Federer/Roger Federer_58.jpg,False,
Anushka Sharma,Anushka Sharma_46.jpg,Robert Downey Jr_32.jpg,./Images/Anushka Sharma/Anushka Sharma_46.jpg,./Images/Robert Downey Jr/Robert Downey Jr_32.jpg,False,
Lisa Kudrow,Lisa Kudrow_4.jpg,Tom Cruise_56.jpg,./Images/Lisa Kudrow/Lisa Kudrow_4.jpg,./Images/Tom Cruise/Tom Cruise_56.jpg,False,
Virat Kohli,Virat Kohli_38.jpg,Alexandra Daddario_31.jpg,./Images/Virat Kohli/Virat Kohli_38.jpg,./Images/Alexandra Daddario/Alexandra Daddario_31.jpg,False,
Vijay Deverakonda,Vijay Deverakonda_35.jpg,Billie Eilish_92.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_35.jpg,./Images/Billie Eilish/Billie Eilish_92.jpg,False,
Charlize Theron,Charlize Theron_4.jpg,Hugh Jackman_37.jpg,./Images/Charlize Theron/Charlize Theron_4.jpg,./Images/Hugh Jackman/Hugh Jackman_37.jpg,False,
Hrithik Roshan,Hrithik Roshan_34.jpg,Robert Downey Jr_84.jpg,./Images/Hrithik Roshan/Hrithik Roshan_34.jpg,./Images/Robert Downey Jr/Robert Downey Jr_84.jpg,False,
Camila Cabello,Camila Cabello_69.jpg,Brad Pitt_13.jpg,./Images/Camila Cabello/Camila Cabello_69.jpg,./Images/Brad Pitt/Brad Pitt_13.jpg,False,
Hrithik Roshan,Hrithik Roshan_6.jpg,Henry Cavill_80.jpg,./Images/Hrithik Roshan/Hrithik Roshan_6.jpg,./Images/Henry Cavill/Henry Cavill_80.jpg,False,
Marmik,Marmik_31.jpg,Virat Kohli_17.jpg,./Images/Marmik/Marmik_31.jpg,./Images/Virat Kohli/Virat Kohli_17.jpg,False,
Tom Cruise,Tom Cruise_44.jpg,Alia Bhatt_22.jpg,./Images/Tom Cruise/Tom Cruise_44.jpg,./Images/Alia Bhatt/Alia Bhatt_22.jpg,False,
Billie Eilish,Billie Eilish_82.jpg,Amitabh Bachchan_2.jpg,./Images/Billie Eilish/Billie Eilish_82.jpg,./Images/Amitabh Bachchan/Amitabh Bachchan_2.jpg,False,
Dwayne Johnson,Dwayne Johnson_11.jpg,Marmik_26.jpg,./Images/Dwayne Johnson/Dwayne Johnson_11.jpg,./Images/Marmik/Marmik_26.jpg,False,
Hugh Jackman,Hugh Jackman_78.jpg,Anushka Sharma_40.jpg,./Images/Hugh Jackman/Hugh Jackman_78.jpg,./Images/Anushka Sharma/Anushka Sharma_40.jpg,False,
Claire Holt,Claire Holt_1.jpg,Brad Pitt_38.jpg,./Images/Claire Holt/Claire Holt_1.jpg,./Images/Brad Pitt/Brad Pitt_38.jpg,False,
Camila Cabello,Camila Cabello_30.jpg,Jessica Alba_65.jpg,./Images/Camila Cabello/Camila Cabello_30.jpg,./Images/Jessica Alba/Jessica Alba_65.jpg,False,
Jessica Alba,Jessica Alba_41.jpg,Brad Pitt_75.jpg,./Images/Jessica Alba/Jessica Alba_41.jpg,./Images/Brad Pitt/Brad Pitt_75.jpg,False,
Jessica Alba,Jessica Alba_44.jpg,Hugh Jackman_51.jpg,./Images/Jessica Alba/Jessica Alba_44.jpg,./Images/Hugh Jackman/Hugh Jackman_51.jpg,False,
Tom Cruise,Tom Cruise_1.jpg,Lisa Kudrow_62.jpg,./Images/Tom Cruise/Tom Cruise_1.jpg,./Images/Lisa Kudrow/Lisa Kudrow_62.jpg,False,
Lisa Kudrow,Lisa Kudrow_42.jpg,Hrithik Roshan_57.jpg,./Images/Lisa Kudrow/Lisa Kudrow_42.jpg,./Images/Hrithik Roshan/Hrithik Roshan_57.jpg,False,
Robert Downey Jr,Robert Downey Jr_96.jpg,Zac Efron_80.jpg,./Images/Robert Downey Jr/Robert Downey Jr_96.jpg,./Images/Zac Efron/Zac Efron_80.jpg,False,
Virat Kohli,Virat Kohli_7.jpg,Tom Cruise_39.jpg,./Images/Virat Kohli/Virat Kohli_7.jpg,./Images/Tom Cruise/Tom Cruise_39.jpg,False,
Jessica Alba,Jessica Alba_41.jpg,Roger Federer_24.jpg,./Images/Jessica Alba/Jessica Alba_41.jpg,./Images/Roger Federer/Roger Federer_24.jpg,False,
Jessica Alba,Jessica Alba_82.jpg,Marmik_3.jpg,./Images/Jessica Alba/Jessica Alba_82.jpg,./Images/Marmik/Marmik_3.jpg,False,
Anushka Sharma,Anushka Sharma_31.jpg,Hugh Jackman_75.jpg,./Images/Anushka Sharma/Anushka Sharma_31.jpg,./Images/Hugh Jackman/Hugh Jackman_75.jpg,False,
Camila Cabello,Camila Cabello_27.jpg,Vijay Deverakonda_59.jpg,./Images/Camila Cabello/Camila Cabello_27.jpg,./Images/Vijay Deverakonda/Vijay Deverakonda_59.jpg,False,
Henry Cavill,Henry Cavill_29.jpg,Priyanka Chopra_56.jpg,./Images/Henry Cavill/Henry Cavill_29.jpg,./Images/Priyanka Chopra/Priyanka Chopra_56.jpg,False,
Camila Cabello,Camila Cabello_45.jpg,Andy Samberg_20.jpg,./Images/Camila Cabello/Camila Cabello_45.jpg,./Images/Andy Samberg/Andy Samberg_20.jpg,False,
Jessica Alba,Jessica Alba_35.jpg,Claire Holt_68.jpg,./Images/Jessica Alba/Jessica Alba_35.jpg,./Images/Claire Holt/Claire Holt_68.jpg,False,
Marmik,Marmik_16.jpg,Alexandra Daddario_81.jpg,./Images/Marmik/Marmik_16.jpg,./Images/Alexandra Daddario/Alexandra Daddario_81.jpg,False,
Hugh Jackman,Hugh Jackman_58.jpg,Dwayne Johnson_27.jpg,./Images/Hugh Jackman/Hugh Jackman_58.jpg,./Images/Dwayne Johnson/Dwayne Johnson_27.jpg,False,
Alia Bhatt,Alia Bhatt_12.jpg,Henry Cavill_59.jpg,./Images/Alia Bhatt/Alia Bhatt_12.jpg,./Images/Henry Cavill/Henry Cavill_59.jpg,False,
Natalie Portman,Natalie Portman_88.jpg,Akshay Kumar_13.jpg,./Images/Natalie Portman/Natalie Portman_88.jpg,./Images/Akshay Kumar/Akshay Kumar_13.jpg,False,
Robert Downey Jr,Robert Downey Jr_75.jpg,Roger Federer_37.jpg,./Images/Robert Downey Jr/Robert Downey Jr_75.jpg,./Images/Roger Federer/Roger Federer_37.jpg,False,
Hugh Jackman,Hugh Jackman_11.jpg,Kashyap_3.jpg,./Images/Hugh Jackman/Hugh Jackman_11.jpg,./Images/Kashyap/Kashyap_3.jpg,False,
Lisa Kudrow,Lisa Kudrow_40.jpg,Natalie Portman_20.jpg,./Images/Lisa Kudrow/Lisa Kudrow_40.jpg,./Images/Natalie Portman/Natalie Portman_20.jpg,False,
Billie Eilish,Billie Eilish_5.jpg,Claire Holt_73.jpg,./Images/Billie Eilish/Billie Eilish_5.jpg,./Images/Claire Holt/Claire Holt_73.jpg,False,
Zac Efron,Zac Efron_2.jpg,Elizabeth Olsen_38.jpg,./Images/Zac Efron/Zac Efron_2.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_38.jpg,False,
Ellen Degeneres,Ellen Degeneres_61.jpg,Roger Federer_11.jpg,./Images/Ellen Degeneres/Ellen Degeneres_61.jpg,./Images/Roger Federer/Roger Federer_11.jpg,False,
Ellen Degeneres,Ellen Degeneres_21.jpg,Charlize Theron_74.jpg,./Images/Ellen Degeneres/Ellen Degeneres_21.jpg,./Images/Charlize Theron/Charlize Theron_74.jpg,False,
