label,img-1,img-2,img_1_path,img_2_path,actual_result,result
Dwayne Johnson,Dwayne Johnson_44.jpg,Akshay Kumar_37.jpg,./Images/Dwayne Johnson/Dwayne Johnson_44.jpg,./Images/Akshay Kumar/Akshay Kumar_37.jpg,False,False
Dwayne Johnson,Dwayne Johnson_45.jpg,Kashyap_10.jpg,./Images/Dwayne Johnson/Dwayne Johnson_45.jpg,./Images/Kashyap/Kashyap_10.jpg,False,False
Camila Cabello,Camila Cabello_39.jpg,Zac Efron_44.jpg,./Images/Camila Cabello/Camila Cabello_39.jpg,./Images/Zac Efron/Zac Efron_44.jpg,False,False
Dwayne Johnson,Dwayne Johnson_31.jpg,Virat Kohli_32.jpg,./Images/Dwayne Johnson/Dwayne Johnson_31.jpg,./Images/Virat Kohli/Virat Kohli_32.jpg,False,False
Alia Bhatt,Alia Bhatt_39.jpg,Henry Cavill_19.jpg,./Images/Alia Bhatt/Alia Bhatt_39.jpg,./Images/Henry Cavill/Henry Cavill_19.jpg,False,False
Claire Holt,Claire Holt_29.jpg,Natalie Portman_75.jpg,./Images/Claire Holt/Claire Holt_29.jpg,./Images/Natalie Portman/Natalie Portman_75.jpg,False,False
Billie Eilish,Billie Eilish_60.jpg,Claire Holt_76.jpg,./Images/Billie Eilish/Billie Eilish_60.jpg,./Images/Claire Holt/Claire Holt_76.jpg,False,False
Ellen Degeneres,Ellen Degeneres_29.jpg,Zac Efron_22.jpg,./Images/Ellen Degeneres/Ellen Degeneres_29.jpg,./Images/Zac Efron/Zac Efron_22.jpg,False,False
Hrithik Roshan,Hrithik Roshan_25.jpg,Jessica Alba_89.jpg,./Images/Hrithik Roshan/Hrithik Roshan_25.jpg,./Images/Jessica Alba/Jessica Alba_89.jpg,False,False
Anushka Sharma,Anushka Sharma_3.jpg,Robert Downey Jr_79.jpg,./Images/Anushka Sharma/Anushka Sharma_3.jpg,./Images/Robert Downey Jr/Robert Downey Jr_79.jpg,False,False
Billie Eilish,Billie Eilish_95.jpg,Marmik_19.jpg,./Images/Billie Eilish/Billie Eilish_95.jpg,./Images/Marmik/Marmik_19.jpg,False,False
Henry Cavill,Henry Cavill_17.jpg,Jessica Alba_107.jpg,./Images/Henry Cavill/Henry Cavill_17.jpg,./Images/Jessica Alba/Jessica Alba_107.jpg,False,False
Alexandra Daddario,Alexandra Daddario_68.jpg,Natalie Portman_31.jpg,./Images/Alexandra Daddario/Alexandra Daddario_68.jpg,./Images/Natalie Portman/Natalie Portman_31.jpg,False,False
Claire Holt,Claire Holt_65.jpg,Robert Downey Jr_23.jpg,./Images/Claire Holt/Claire Holt_65.jpg,./Images/Robert Downey Jr/Robert Downey Jr_23.jpg,False,False
Elizabeth Olsen,Elizabeth Olsen_47.jpg,Anushka Sharma_19.jpg,./Images/Elizabeth Olsen/Elizabeth Olsen_47.jpg,./Images/Anushka Sharma/Anushka Sharma_19.jpg,False,False
Priyanka Chopra,Priyanka Chopra_29.jpg,Ellen Degeneres_63.jpg,./Images/Priyanka Chopra/Priyanka Chopra_29.jpg,./Images/Ellen Degeneres/Ellen Degeneres_63.jpg,False,False
Marmik,Marmik_26.jpg,Kashyap_1.jpg,./Images/Marmik/Marmik_26.jpg,./Images/Kashyap/Kashyap_1.jpg,False,True
Robert Downey Jr,Robert Downey Jr_96.jpg,Alexandra Daddario_58.jpg,./Images/Robert Downey Jr/Robert Downey Jr_96.jpg,./Images/Alexandra Daddario/Alexandra Daddario_58.jpg,False,False
Marmik,Marmik_16.jpg,Anushka Sharma_16.jpg,./Images/Marmik/Marmik_16.jpg,./Images/Anushka Sharma/Anushka Sharma_16.jpg,False,False
Alia Bhatt,Alia Bhatt_69.jpg,Camila Cabello_75.jpg,./Images/Alia Bhatt/Alia Bhatt_69.jpg,./Images/Camila Cabello/Camila Cabello_75.jpg,False,True
