label,img-1,img-2,img_1_path,img_2_path,result
Akshay Kumar,Akshay Kumar_19.jpg,Akshay Kumar_22.jpg,./Images/Akshay Kumar/Akshay Kumar_19.jpg,./Images/Akshay Kumar/Akshay Kumar_22.jpg,True
Akshay Kumar,Akshay Kumar_44.jpg,Akshay Kumar_35.jpg,./Images/Akshay Kumar/Akshay Kumar_44.jpg,./Images/Akshay Kumar/Akshay Kumar_35.jpg,True
Akshay Kumar,Akshay Kumar_26.jpg,Akshay Kumar_47.jpg,./Images/Akshay Kumar/Akshay Kumar_26.jpg,./Images/Akshay Kumar/Akshay Kumar_47.jpg,True
Akshay Kumar,Akshay Kumar_14.jpg,Akshay Kumar_29.jpg,./Images/Akshay Kumar/Akshay Kumar_14.jpg,./Images/Akshay Kumar/Akshay Kumar_29.jpg,True
Akshay Kumar,Akshay Kumar_11.jpg,Akshay Kumar_1.jpg,./Images/Akshay Kumar/Akshay Kumar_11.jpg,./Images/Akshay Kumar/Akshay Kumar_1.jpg,False
Akshay Kumar,Akshay Kumar_6.jpg,Akshay Kumar_10.jpg,./Images/Akshay Kumar/Akshay Kumar_6.jpg,./Images/Akshay Kumar/Akshay Kumar_10.jpg,True
Akshay Kumar,Akshay Kumar_38.jpg,Akshay Kumar_12.jpg,./Images/Akshay Kumar/Akshay Kumar_38.jpg,./Images/Akshay Kumar/Akshay Kumar_12.jpg,False
Akshay Kumar,Akshay Kumar_3.jpg,Akshay Kumar_0.jpg,./Images/Akshay Kumar/Akshay Kumar_3.jpg,./Images/Akshay Kumar/Akshay Kumar_0.jpg,False
Akshay Kumar,Akshay Kumar_48.jpg,Akshay Kumar_34.jpg,./Images/Akshay Kumar/Akshay Kumar_48.jpg,./Images/Akshay Kumar/Akshay Kumar_34.jpg,True
Akshay Kumar,Akshay Kumar_17.jpg,Akshay Kumar_9.jpg,./Images/Akshay Kumar/Akshay Kumar_17.jpg,./Images/Akshay Kumar/Akshay Kumar_9.jpg,False
Akshay Kumar,Akshay Kumar_40.jpg,Akshay Kumar_2.jpg,./Images/Akshay Kumar/Akshay Kumar_40.jpg,./Images/Akshay Kumar/Akshay Kumar_2.jpg,True
Akshay Kumar,Akshay Kumar_20.jpg,Akshay Kumar_37.jpg,./Images/Akshay Kumar/Akshay Kumar_20.jpg,./Images/Akshay Kumar/Akshay Kumar_37.jpg,False
Akshay Kumar,Akshay Kumar_24.jpg,Akshay Kumar_32.jpg,./Images/Akshay Kumar/Akshay Kumar_24.jpg,./Images/Akshay Kumar/Akshay Kumar_32.jpg,False
Akshay Kumar,Akshay Kumar_42.jpg,Akshay Kumar_28.jpg,./Images/Akshay Kumar/Akshay Kumar_42.jpg,./Images/Akshay Kumar/Akshay Kumar_28.jpg,True
Akshay Kumar,Akshay Kumar_15.jpg,Akshay Kumar_46.jpg,./Images/Akshay Kumar/Akshay Kumar_15.jpg,./Images/Akshay Kumar/Akshay Kumar_46.jpg,False
Akshay Kumar,Akshay Kumar_13.jpg,Akshay Kumar_30.jpg,./Images/Akshay Kumar/Akshay Kumar_13.jpg,./Images/Akshay Kumar/Akshay Kumar_30.jpg,True
Akshay Kumar,Akshay Kumar_36.jpg,Akshay Kumar_39.jpg,./Images/Akshay Kumar/Akshay Kumar_36.jpg,./Images/Akshay Kumar/Akshay Kumar_39.jpg,False
Akshay Kumar,Akshay Kumar_45.jpg,Akshay Kumar_27.jpg,./Images/Akshay Kumar/Akshay Kumar_45.jpg,./Images/Akshay Kumar/Akshay Kumar_27.jpg,True
Akshay Kumar,Akshay Kumar_25.jpg,Akshay Kumar_49.jpg,./Images/Akshay Kumar/Akshay Kumar_25.jpg,./Images/Akshay Kumar/Akshay Kumar_49.jpg,False
